Word, Frequency, ProcFrequency
Anya, 3348, 0.07957975802809536
Oksana, 3215, 0.07641843550188966
Yulya, 3195, 0.0759430486558437
Elena, 2954, 0.07021463716098976
Gleb, 2793, 0.0663877730503197
Ivan, 2703, 0.06424853224311283
Timur, 2476, 0.05885289154049107
Raissa, 2443, 0.05806850324451522
Alexey, 2434, 0.05785457916379454
, 2093, 0.04974923343871075
Sasha, 2036, 0.04839438092747974
Vlas, 2026, 0.04815668750445675
Semyon, 1694, 0.04026526586009365
Vera, 1663, 0.0395284162487224
Yaroslav, 1612, 0.03831617979130517
Nika, 1575, 0.03743671412612013
Boris, 1157, 0.02750112904375936
Egor, 1128, 0.0268118181169927
Yuriy, 793, 0.018849088445722705
Olesya, 733, 0.017422927907584797
